ESTU_SNIES_PRGMACADEMICO,GRUPOREFERENCIA
595,CIENCIAS NATURALES Y EXACTAS
596,CIENCIAS NATURALES Y EXACTAS
684,BELLAS ARTES Y DISEÑO
685,EDUCACIÓN
687,EDUCACIÓN
689,ENFERMERÍA
690,SALUD
691,MEDICINA
692,SALUD
693,CIENCIAS SOCIALES
694,ADMINISTRACIÓN Y AFINES
696,INGENIERÍA
697,INGENIERÍA
698,INGENIERÍA
699,INGENIERÍA
700,INGENIERÍA
701,INGENIERÍA
702,INGENIERÍA
703,INGENIERÍA
704,CIENCIAS NATURALES Y EXACTAS
705,CIENCIAS NATURALES Y EXACTAS
706,CIENCIAS NATURALES Y EXACTAS
707,CIENCIAS NATURALES Y EXACTAS
736,ENFERMERÍA
737,MEDICINA
738,SALUD
739,CIENCIAS SOCIALES
740,DERECHO
741,ECONOMÍA
742,ADMINISTRACIÓN Y AFINES
744,HUMANIDADES
745,HUMANIDADES
746,HUMANIDADES
747,INGENIERÍA
748,SALUD
757,BELLAS ARTES Y DISEÑO
773,EDUCACIÓN
777,CIENCIAS AGROPECUARIAS 
779,EDUCACIÓN
783,EDUCACIÓN
786,DERECHO
788,ADMINISTRACIÓN Y AFINES
789,INGENIERÍA
790,INGENIERÍA
791,ADMINISTRACIÓN Y AFINES
801,CIENCIAS AGROPECUARIAS 
803,EDUCACIÓN
805,EDUCACIÓN
807,ENFERMERÍA
808,ADMINISTRACIÓN Y AFINES
809,ADMINISTRACIÓN Y AFINES
810,CIENCIAS AGROPECUARIAS 
811,INGENIERÍA
827,EDUCACIÓN
829,EDUCACIÓN
831,MEDICINA
832,SALUD
833,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
834,CONTADURÍA Y AFINES
835,INGENIERÍA
850,EDUCACIÓN
852,ENFERMERÍA
854,CONTADURÍA Y AFINES
855,INGENIERÍA
856,INGENIERÍA
857,INGENIERÍA
862,ADMINISTRACIÓN Y AFINES
866,EDUCACIÓN
870,EDUCACIÓN
873,CIENCIAS NATURALES Y EXACTAS
882,ECONOMÍA
884,CIENCIAS AGROPECUARIAS 
885,INGENIERÍA
889,CIENCIAS AGROPECUARIAS 
898,ENFERMERÍA
902,ADMINISTRACIÓN Y AFINES
906,BELLAS ARTES Y DISEÑO
907,BELLAS ARTES Y DISEÑO
908,BELLAS ARTES Y DISEÑO
910,EDUCACIÓN
913,EDUCACIÓN
914,EDUCACIÓN
915,EDUCACIÓN
916,EDUCACIÓN
917,INGENIERÍA
918,INGENIERÍA
919,INGENIERÍA
920,INGENIERÍA
921,INGENIERÍA
925,BELLAS ARTES Y DISEÑO
926,BELLAS ARTES Y DISEÑO
933,EDUCACIÓN
935,EDUCACIÓN
937,EDUCACIÓN
943,SALUD
944,ENFERMERÍA
946,SALUD
947,SALUD
948,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
949,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
950,PSICOLOGÍA
951,DERECHO
952,ECONOMÍA
953,ADMINISTRACIÓN Y AFINES
954,CONTADURÍA Y AFINES
955,HUMANIDADES
956,HUMANIDADES
957,HUMANIDADES
958,HUMANIDADES
959,INGENIERÍA
960,INGENIERÍA
961,INGENIERÍA
962,ARQUITECTURA Y URBANISMO 
964,CIENCIAS NATURALES Y EXACTAS
965,CIENCIAS NATURALES Y EXACTAS
1039,PSICOLOGÍA
1040,ADMINISTRACIÓN Y AFINES
1041,CONTADURÍA Y AFINES
1042,INGENIERÍA
1043,INGENIERÍA
1044,INGENIERÍA
1050,EDUCACIÓN
1053,PSICOLOGÍA
1054,RECREACIÓN Y DEPORTES
1056,DERECHO
1059,INGENIERÍA
1060,INGENIERÍA
1061,INGENIERÍA
1062,INGENIERÍA
1063,CIENCIAS NATURALES Y EXACTAS
1074,EDUCACIÓN
1077,EDUCACIÓN
1078,PSICOLOGÍA
1079,CIENCIAS SOCIALES
